Item,servingSize,servingUnit,Calories,Fat (g),Carb (g),Protein (g),Sugar (g),Fibre (g)
Lean Fit Chocolate Protein Powder,1,Scoop,140,4,3,24,2,0
Lean Fit Chocolate Protein Powder,35,g,140,4,3,24,2,0
Optimum Vanilla Protein Powder,1,Scoop,130,2,4,24,1,0
Optimum Vanilla Protein Powder,31,g,130,2,4,24,1,0
Quaker Rolled Oats,0,Cup,150,3,27,5,0,4
Quaker Rolled Oats,40,g,150,3,27,5,0,4
0% Milk,1,Cup,90,0,13,9,13,0
0% Milk,250,ml,90,0,13,9,13,0
Source Yogurt,1,Cup,80,0,9,10,5,0
Source Yogurt,175,g,80,0,9,10,5,0
Cheerios,2,Cup,140,3,29,5,2,4
Cheerios,39,g,140,3,29,5,2,4
Frozen Blueberries,1,Cup,40,1,10,0,7,3
Frozen Blueberries,80,g,40,1,10,0,7,3
Harvest Crunch Granola,1,Cup,450,17,68,10,23,8
Harvest Crunch Granola,100,g,450,17,68,10,23,8
Chip Ahoy Cookies,2,Cookies,140,7,19,1,10,0
Chip Ahoy Cookies,29,g,140,7,19,1,10,0
Soya Chunk,1,Serving,180,1,19,24,13,9
Soya Chunk,50,g,180,1,19,24,13,9
Peanut Butter,1,Tbsp,90,7,3,4,1,1
Peanut Butter,15,g,90,7,3,4,1,1
Bagel,1,Bagel,220,2,44,8,4,2
Bagel,1,Bagel,220,2,44,8,4,2
Country Harvest Bread,2,Slices,210,3,38,10,5,6
Country Harvest Bread,80,g,210,3,38,10,5,6
Chia Seed,15,g,65,4,5,3,0,10
Chia Seed,1,tbsp,65,4,5,3,0,10
